citrus fruit,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,
hamburger meat,condensed milk,pastry,fruit/vegetable juice,salty snack,candles,,,,,,,,,,,,,,,,,,,,,,,
cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,other vegetables,whole milk,dessert,domestic eggs,rolls/buns,white bread,bottled water,soda,chocolate,detergent,shopping bags,,,,,,,,,,,,,,,,,
yogurt,UHT-milk,frozen dessert,bottled water,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,
sausage,root vegetables,other vegetables,whole milk,oil,mustard,specialty chocolate,newspapers,,,,,,,,,,,,,,,,,,,,,
bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pickled vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken,beef,root vegetables,other vegetables,whole milk,whipped/sour cream,pasta,soda,,,,,,,,,,,,,,,,,,,,,
herbs,whole milk,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
white bread,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken,pork,other vegetables,UHT-milk,white bread,pastry,pasta,soda,specialty bar,,,,,,,,,,,,,,,,,,,,
beef,root vegetables,other vegetables,whole milk,domestic eggs,rolls/buns,brown bread,soda,fruit/vegetable juice,red/blush wine,snack products,dishes,light bulbs,shopping bags,,,,,,,,,,,,,,,
root vegetables,packaged fruit/vegetables,rolls/buns,sugar,liquor,,,,,,,,,,,,,,,,,,,,,,,,
soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yogurt,canned vegetables,pot plants,,,,,,,,,,,,,,,,,,,,,,,,,,
white bread,bottled water,soda,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,
syrup,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,sugar,cling film/bags,,,,,,,,,,,,,,,,,,,,,,,,,,
salt,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,frozen vegetables,frozen meals,cereals,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,yogurt,whipped/sour cream,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,rolls/buns,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,dessert,cream cheese ,rolls/buns,white bread,margarine,salty snack,waffles,specialty bar,female sanitary products,newspapers,,,,,,,,,,,,,,,,,,
fish,tropical fruit,pip fruit,berries,whole milk,curd,yogurt,whipped/sour cream,condensed milk,instant coffee,long life bakery product,cake bar,napkins,,,,,,,,,,,,,,,,
pip fruit,beverages,frozen vegetables,frozen meals,bottled water,soda,salty snack,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,tropical fruit,pip fruit,root vegetables,onions,other vegetables,whole milk,yogurt,rolls/buns,brown bread,soda,fruit/vegetable juice,,,,,,,,,,,,,,,,,
dishes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meat,curd,yogurt,ice cream,oil,canned fish,soda,fruit/vegetable juice,seasonal products,,,,,,,,,,,,,,,,,,,,
pork,onions,other vegetables,whole milk,curd,butter milk,whipped/sour cream,rolls/buns,liquor (appetizer),salty snack,waffles,newspapers,,,,,,,,,,,,,,,,,
sausage,pip fruit,root vegetables,whole milk,yogurt,frozen potato products,pasta,bottled water,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,
pip fruit,root vegetables,UHT-milk,condensed milk,margarine,sugar,pudding powder,cocoa drinks,fruit/vegetable juice,chocolate,,,,,,,,,,,,,,,,,,,
bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,hard cheese,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,
onions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liver loaf,pip fruit,root vegetables,frozen vegetables,salty snack,,,,,,,,,,,,,,,,,,,,,,,,
meat,root vegetables,other vegetables,fruit/vegetable juice,white wine,,,,,,,,,,,,,,,,,,,,,,,,
root vegetables,soda,red/blush wine,prosecco,waffles,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,tropical fruit,root vegetables,other vegetables,whole milk,,,,,,,,,,,,,,,,,,,,,,,,
soda,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,,
bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dessert,cream cheese ,mayonnaise,domestic eggs,pastry,canned fish,chocolate,cleaner,female sanitary products,,,,,,,,,,,,,,,,,,,,
bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roll products ,dog food,soda,fruit/vegetable juice,bottled beer,napkins,,,,,,,,,,,,,,,,,,,,,,,
sausage,whole milk,condensed milk,semi-finished bread,cat food,,,,,,,,,,,,,,,,,,,,,,,,
yogurt,margarine,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken,root vegetables,whole milk,butter,yogurt,sparkling wine,chocolate,softener,female sanitary products,napkins,kitchen towels,house keeping products,newspapers,,,,,,,,,,,,,,,,
meat,pork,pip fruit,root vegetables,other vegetables,whole milk,hard cheese,white bread,pasta,margarine,ketchup,cocoa drinks,chocolate,cling film/bags,,,,,,,,,,,,,,,
citrus fruit,berries,butter,butter milk,yogurt,sliced cheese,frozen vegetables,frozen chicken,soda,,,,,,,,,,,,,,,,,,,,
butter milk,cream cheese ,rolls/buns,misc. beverages,newspapers,,,,,,,,,,,,,,,,,,,,,,,,
nuts/prunes,other vegetables,whole milk,ice cream,soda,newspapers,,,,,,,,,,,,,,,,,,,,,,,
root vegetables,other vegetables,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,
bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken,other vegetables,frozen vegetables,canned beer,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,
butter,curd,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,processed cheese,domestic eggs,soda,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,
root vegetables,other vegetables,whole milk,whipped/sour cream,hard cheese,frozen vegetables,cat food,dishes,newspapers,,,,,,,,,,,,,,,,,,,,
tropical fruit,other vegetables,rolls/buns,salt,margarine,soda,bottled beer,salty snack,,,,,,,,,,,,,,,,,,,,,
sausage,hamburger meat,citrus fruit,whole milk,pasta,soda,chewing gum,detergent,hygiene articles,kitchen towels,,,,,,,,,,,,,,,,,,,
bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salty snack,dental care,,,,,,,,,,,,,,,,,,,,,,,,,,,
beef,other vegetables,chocolate,newspapers,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,instant coffee,soda,,,,,,,,,,,,,,,,,,,,,,,,,,
ham,other vegetables,whole milk,domestic eggs,sweet spreads,misc. beverages,salty snack,hygiene articles,shopping bags,,,,,,,,,,,,,,,,,,,,
mayonnaise,candy,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,ham,other vegetables,processed cheese,rolls/buns,white bread,potato products,coffee,bottled beer,long life bakery product,,,,,,,,,,,,,,,,,,,
hamburger meat,butter,zwieback,Instant food products,soda,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,
whipped/sour cream,domestic eggs,candles,,,,,,,,,,,,,,,,,,,,,,,,,,
candles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beverages,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,pip fruit,yogurt,frozen vegetables,artif. sweetener,,,,,,,,,,,,,,,,,,,,,,,,
yogurt,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,dessert,whipped/sour cream,ice cream,coffee,soda,bottled beer,,,,,,,,,,,,,,,,,,,,,,
sausage,tropical fruit,other vegetables,butter,butter milk,whipped/sour cream,cream,processed cheese,ice cream,white bread,spices,soda,fruit/vegetable juice,salty snack,,,,,,,,,,,,,,,
bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,whole milk,yogurt,whipped/sour cream,rolls/buns,cocoa drinks,bottled water,bottled beer,specialty chocolate,,,,,,,,,,,,,,,,,,,,
bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pork,root vegetables,herbs,other vegetables,whole milk,processed cheese,domestic eggs,margarine,fruit/vegetable juice,hygiene articles,,,,,,,,,,,,,,,,,,,
salty snack,candy,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,tropical fruit,other vegetables,whole milk,domestic eggs,white wine,detergent,softener,,,,,,,,,,,,,,,,,,,,,
tropical fruit,fruit/vegetable juice,candy,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,whipped/sour cream,pudding powder,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,soda,fruit/vegetable juice,salty snack,chewing gum,shopping bags,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,ice cream,frozen dessert,,,,,,,,,,,,,,,,,,,,,,,,,,
bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
domestic eggs,canned beer,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,dessert,pastry,Instant food products,canned fish,soda,bottled beer,red/blush wine,napkins,candles,,,,,,,,,,,,,,,,,,,
tropical fruit,packaged fruit/vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,
ham,hamburger meat,whole milk,processed cheese,white bread,potato products,artif. sweetener,instant coffee,bottled water,soda,fruit/vegetable juice,salty snack,specialty bar,detergent,shopping bags,,,,,,,,,,,,,,
brandy,liquor (appetizer),,,,,,,,,,,,,,,,,,,,,,,,,,,
hard cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bottled beer,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,UHT-milk,cream,,,,,,,,,,,,,,,,,,,,,,,,,,
finished products,citrus fruit,tropical fruit,grapes,berries,root vegetables,other vegetables,whole milk,spread cheese,brown bread,pastry,potato products,fruit/vegetable juice,chocolate,pot plants,shopping bags,,,,,,,,,,,,,
misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yogurt,cream cheese ,rolls/buns,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,
bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,butter milk,baking powder,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,curd,frozen potato products,soda,dish cleaner,,,,,,,,,,,,,,,,,,,,,,,,
yogurt,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,
bottled beer,liquor (appetizer),dishes,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,yogurt,cream cheese ,,,,,,,,,,,,,,,,,,,,,,,,,,
UHT-milk,brown bread,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,pip fruit,pickled vegetables,bottled water,newspapers,,,,,,,,,,,,,,,,,,,,,,,,
newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,canned beer,red/blush wine,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,dessert,bottled water,soda,bottled beer,white wine,napkins,,,,,,,,,,,,,,,,,,,,,,
bottled water,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,
canned beer,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,,
onions,other vegetables,whole milk,yogurt,domestic eggs,pastry,dishes,shopping bags,,,,,,,,,,,,,,,,,,,,,
pastry,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,yogurt,sliced cheese,brown bread,margarine,bottled water,soda,candy,newspapers,,,,,,,,,,,,,,,,,,,,
hamburger meat,other vegetables,whole milk,spread cheese,soda,canned beer,chocolate,specialty bar,,,,,,,,,,,,,,,,,,,,,
pip fruit,whole milk,coffee,bottled water,fruit/vegetable juice,bottled beer,,,,,,,,,,,,,,,,,,,,,,,
soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pork,tropical fruit,pip fruit,whole milk,whipped/sour cream,detergent,softener,napkins,shopping bags,,,,,,,,,,,,,,,,,,,,
rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whipped/sour cream,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,long life bakery product,,,,,,,,,,,,,,,,,,,,,,,,,,,
butter,sliced cheese,frozen meals,pastry,soda,fruit/vegetable juice,chocolate,specialty bar,,,,,,,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,whole milk,butter milk,UHT-milk,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,beverages,bottled water,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,
yogurt,soda,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,yogurt,pastry,canned fish,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,other vegetables,whole milk,butter,rolls/buns,margarine,Instant food products,canned beer,detergent,,,,,,,,,,,,,,,,,,,,
meat,root vegetables,other vegetables,yogurt,whipped/sour cream,hard cheese,frozen fruits,ice cream,domestic eggs,sweet spreads,long life bakery product,shopping bags,,,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,berries,root vegetables,other vegetables,yogurt,cream cheese ,rolls/buns,soda,shopping bags,,,,,,,,,,,,,,,,,,,,
yogurt,processed cheese,frozen vegetables,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,
newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
condensed milk,rolls/buns,sugar,coffee,,,,,,,,,,,,,,,,,,,,,,,,,
pip fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,root vegetables,whole milk,butter milk,yogurt,rolls/buns,pastry,,,,,,,,,,,,,,,,,,,,,,
whole milk,photo/film,,,,,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,sausage,citrus fruit,pip fruit,margarine,,,,,,,,,,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,butter,yogurt,beverages,dishes,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,tropical fruit,pip fruit,grapes,root vegetables,other vegetables,rolls/buns,pastry,jam,cat food,,,,,,,,,,,,,,,,,,,
butter,yogurt,cream cheese ,spread cheese,rolls/buns,bottled water,soda,fruit/vegetable juice,newspapers,,,,,,,,,,,,,,,,,,,,
tropical fruit,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,dessert,photo/film,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,pip fruit,whole milk,margarine,,,,,,,,,,,,,,,,,,,,,,,,,
butter,sliced cheese,frozen meals,rolls/buns,brown bread,canned fruit,fruit/vegetable juice,long life bakery product,,,,,,,,,,,,,,,,,,,,,
seasonal products,photo/film,,,,,,,,,,,,,,,,,,,,,,,,,,,
brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,pip fruit,whole milk,curd,yogurt,brown bread,pastry,cereals,,,,,,,,,,,,,,,,,,,,,
rolls/buns,bottled water,soda,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,rolls/buns,mustard,soda,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,liquor (appetizer),,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,
pip fruit,beverages,pastry,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,,,
yogurt,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,
yogurt,cream cheese ,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,citrus fruit,butter,domestic eggs,rolls/buns,margarine,soda,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,yogurt,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,,,,
UHT-milk,condensed milk,coffee,cling film/bags,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,long life bakery product,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,brown bread,pastry,pasta,margarine,sugar,soda,canned beer,,,,,,,,,,,,,,,,,,,,,
citrus fruit,other vegetables,whole milk,mayonnaise,rolls/buns,waffles,,,,,,,,,,,,,,,,,,,,,,,
pork,citrus fruit,pip fruit,other vegetables,whole milk,pudding powder,,,,,,,,,,,,,,,,,,,,,,,
pip fruit,cream cheese ,cookware,,,,,,,,,,,,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canned beer,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,
dog food,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salty snack,,,,,,,,,,,,,,,,,,,,,,,,,,,,
root vegetables,whipped/sour cream,oil,pet care,,,,,,,,,,,,,,,,,,,,,,,,,
meat,other vegetables,whole milk,rolls/buns,sugar,coffee,bottled water,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,
whole milk,rolls/buns,brown bread,bottled water,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pork,root vegetables,pasta,,,,,,,,,,,,,,,,,,,,,,,,,,
other vegetables,cake bar,,,,,,,,,,,,,,,,,,,,,,,,,,,
whole milk,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
bottled water,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,citrus fruit,other vegetables,whipped/sour cream,frozen vegetables,margarine,bottled beer,hygiene articles,,,,,,,,,,,,,,,,,,,,,
beef,whole milk,curd,yogurt,hard cheese,domestic eggs,rolls/buns,white bread,oil,misc. beverages,cling film/bags,house keeping products,,,,,,,,,,,,,,,,,
organic sausage,turkey,tropical fruit,pip fruit,root vegetables,other vegetables,whole milk,dessert,butter milk,yogurt,cream cheese ,processed cheese,white bread,sauces,bottled beer,waffles,candy,,,,,,,,,,,,
frozen meals,canned fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,
mustard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meat,pip fruit,dessert,processed cheese,domestic eggs,rolls/buns,white bread,brown bread,pastry,semi-finished bread,candy,cookware,,,,,,,,,,,,,,,,,
tropical fruit,root vegetables,other vegetables,whole milk,yogurt,soft cheese,domestic eggs,rolls/buns,margarine,mustard,bottled water,,,,,,,,,,,,,,,,,,
pip fruit,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
root vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,berries,whipped/sour cream,rolls/buns,pickled vegetables,coffee,soda,long life bakery product,,,,,,,,,,,,,,,,,,,,,
whipped/sour cream,pastry,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,hamburger meat,citrus fruit,whole milk,yogurt,white bread,,,,,,,,,,,,,,,,,,,,,,,
frankfurter,sausage,rolls/buns,soda,liquor,shopping bags,,,,,,,,,,,,,,,,,,,,,,,
meat,root vegetables,other vegetables,whipped/sour cream,frozen meals,ice cream,,,,,,,,,,,,,,,,,,,,,,,
whole milk,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,
chicken,pork,tropical fruit,whipped/sour cream,oil,coffee,soda,shopping bags,,,,,,,,,,,,,,,,,,,,,
long life bakery product,house keeping products,,,,,,,,,,,,,,,,,,,,,,,,,,,
cream cheese ,oil,canned beer,waffles,hygiene articles,candles,,,,,,,,,,,,,,,,,,,,,,,
whole milk,brown bread,bottled beer,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,onions,beverages,margarine,bottled beer,napkins,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,brown bread,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,
sausage,hard cheese,rolls/buns,specialty fat,mustard,long life bakery product,seasonal products,napkins,dishes,,,,,,,,,,,,,,,,,,,,
whole milk,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,
soups,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citrus fruit,pip fruit,root vegetables,whole milk,oil,,,,,,,,,,,,,,,,,,,,,,,,
beef,root vegetables,other vegetables,frozen vegetables,ice cream,rolls/buns,sugar,,,,,,,,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beverages,sauces,sweet spreads,pot plants,,,,,,,,,,,,,,,,,,,,,,,,,
canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meat,pork,tropical fruit,root vegetables,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,
cream cheese ,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,
meat,other vegetables,whole milk,rolls/buns,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,
sausage,tropical fruit,pip fruit,curd,beverages,bottled beer,,,,,,,,,,,,,,,,,,,,,,,
